sub_type,difficulty_level,sentence_corpus,correct_answers,error_words
4,1,Do you want {} to help you?,{me},{I}
4,1,Do you want {} to ask him?,{me},{I}
4,1,Do you want {} to leave?,{us},{we}
4,1,I want {} to apologize right now.,{her},{she}
4,1,I don't want {} to be so unhappy.,{her},{she}
4,1,Mother wants {} to help her.,{us},{we}
4,1,The teacher wants {} to be quiet.,{us},{we}
4,1,She wants {} to study this new grammar.,{us},{we}
4,1,I don't want {} to hear us.,{them},{they}
4,1,I want {} to know.,{them},{they}
4,2,I want {} to understand why I couldn't stay.,{them},{they}
4,2,Does he want {} to call him back?,{me},{I}
4,2,My girlfriend wants {} to meet her parents.,{me},{I}
4,2,We don't want {} to go wrong.,{it},{its}
4,2,He wants {} to write a letter of complaint to the manager.,{me},{I}
4,2,The students wanted {} to assign less homework.,{her},{she}
4,2,She wants {} to have more time to practice.,{them},{they}
4,2,They want {} to join them for a late dinner.,{her},{she}
4,2,I want {} to disappear and never come back.,{her},{she}
4,2,She wants {} to rescue her from her dull life.,{me},{I}
4,3,Her mother wants {} to help out around the house but he is always too busy.,{her},{she}
4,3,Employers want {} to speak more than one language.,{her},{she}
4,3,The government wants {} to know where to go if there is a major earthquake.,"{them, us}","{they, we}"
4,3,"My boss wants {} to go to the conference in Russia, but I just don't have the time.",{me},{I}
4,3,Her doctor wants {} to spend more time exercising and less time watching television.,{her},{she}
4,3,I wanted {} to wash the car today but I think it might rain.,{them},{they}
4,3,I want {} to agree with me but she is too stubborn.,{her},{she}
4,3,I know you want {} to finish this project by the end of the week but I am not sure if I can make the deadline.,{me},{I}
4,3,"He wants {} to run away with her but she was smart enough to realize that if she wanted happiness, she had to stay and solve her problems.",{him},{he}
4,1,She asked {} to stay.,{me},{I}
4,1,I asked {} to leave.,{her},{she}
4,1,The clerk asked {} to wait.,{me},{I}
4,1,The doctor asked {} to cough.,{her},{she}
4,1,The children asked {} to play.,{them},{they}
4,1,They asked {} to wait for them.,{us},{we}
4,1,The policeman asked {} to move the car.,{me},{I}
4,1,My family asked {} to stop smoking.,{me},{I}
4,1,The teacher asked {} to close the windows.,{him},{he}
4,1,She asked {} to meet the deadline.,{me},{I}
4,2,I asked {} to help me and he said he would.,{him},{he}
4,2,The local government asks {} to recycle.,{them},{they}
4,2,My son just asked {} to leave the kitchen.,{me},{I}
4,2,The government asked {} to conserve energy.,{them},{they}
4,2,The teacher asked {} to put away their phones.,{them},{they}
4,2,They asked {} to sit in the smoking section.,{us},{we}
4,2,The doctor asked {} to make another appointment for follow-up.,{us},{we}
4,2,My husband asked {} to show him that website.,{me},{I}
4,3,I asked {} to save me the last of the tea for my breakfast tomorrow.,{her},{she}
4,3,My sister asked {} to come to Florida to help her when her sick husband died.,{me},{I}
4,3,The librarian asked {} to return all the overdue books by tomorrow at the latest.,{him},{he}
4,3,Customers often ask {} to explain the difference in price and quality between products.,{me},{I}
4,3,The neighbor asked {} to stop making so much noise at night.,{me},{I}
4,3,"I asked {} to clean her room, but as usual, she ignored me.",{her},{she}
4,3,My brother asked {} to pick up more bananas from the market on my way home.,{me},{I}
4,3,I asked {} to rent the new Tom Cruise DVD but he said it wasn't available.,{him},{he}
4,3,He asked {} to go to the concert with him and she accepted.,{her},{she}
4,3,He asked his teacher to allow {} to retake the test because he was interrupted by the fire drill.,{him},{he}
4,1,I didn't tell {} to go.,{her},{she}
4,1,She told {} to stop.,{me},{I}
4,1,The doctor told {} to exercise.,{me},{I}
4,1,My boss told {} to stay late.,{me},{I}
4,1,My wife told {} to lose weight.,{me},{I}
4,1,I told {} to shut the window.,{him},{he}
4,1,She told {} to turn off the lights.,{me},{I}
4,1,He told {} to call him Chris.,{me},{I}
4,1,I told {} to visit again soon.,{her},{she}
4,1,She told {} to stop complaining.,{him},{he}
4,2,The repairman told {} to bring the car in tomorrow.,{me},{I}
4,2,Mother always tells {} to clean my room.,{me},{I}
4,2,My teacher always tells {} to do our homework on time.,{us},{we}
4,2,My friend always tells {} to think positively.,{me},{I}
4,2,My doctor often tells {} to balance work and play.,{me},{I}
4,2,I told {} to let me know if he needs any help.,{him},{he}
4,2,She told {} to answer the door.,{me},{I}
4,2,He told {} not to touch his phone.,{me},{I}
4,2,He told {} to use his new shampoo if I wanted to.,{me},{I}
4,2,The teacher told {} to stretch before exercising.,{us},{we}
4,3,She told {} to listen for the phone while she was in the shower.,{me},{I}
4,3,We told {} to stay home and watch TV while we were out.,{them},{they}
4,3,I told {} to wait for you but I am sorry to say that they didn't.,{them},{they}
4,3,I told {} to call me if there was any news on his condition.,{him},{he}
4,3,I told {} to come to the make-up class during the sixth period but I am not sure if they will.,{them},{they}
4,3,"After she told {} to stop eating refined sugar, I did, and now I feel much better.",{me},{I}
